Domain Code,Domain,Area Code,Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1961","1961","°C","-0.162","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1962","1962","°C","0.13","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1963","1963","°C","-0.24","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1964","1964","°C","-0.654","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1965","1965","°C","0.269","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1966","1966","°C","-0.19","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1967","1967","°C","-0.204","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1968","1968","°C","-0.076","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1969","1969","°C","0.51","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1970","1970","°C","-0.4","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1971","1971","°C","0.18","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1972","1972","°C","-0.121","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1973","1973","°C","-0.14","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1974","1974","°C","-0.245","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1975","1975","°C","-0.367","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1976","1976","°C","-0.121","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1977","1977","°C","-0.026","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1978","1978","°C","0.141","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1979","1979","°C","0.845","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1980","1980","°C","0.203","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1981","1981","°C","0.706","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1982","1982","°C","0.327","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1983","1983","°C","-0.031","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1984","1984","°C","-0.877","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1985","1985","°C","0.205","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1986","1986","°C","0.177","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1987","1987","°C","1.102","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1988","1988","°C","0.582","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1989","1989","°C","0.575","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1990","1990","°C","0.431","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1991","1991","°C","0.303","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1992","1992","°C","0.462","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1993","1993","°C","0.441","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1994","1994","°C","0.52","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1995","1995","°C","0.474","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1996","1996","°C","0.647","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1997","1997","°C","0.763","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1998","1998","°C","1.111","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1999","1999","°C","1.272","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","2000","2000","°C","0.183","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","2001","2001","°C","0.634","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","2002","2002","°C","0.271","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","2003","2003","°C","1.446","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","2004","2004","°C","0.478","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","2005","2005","°C","0.985","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","2006","2006","°C","1.44","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","2007","2007","°C","0.94","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","2008","2008","°C","0.76","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","2009","2009","°C","0.566","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","2010","2010","°C","0.649","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","2011","2011","°C","0.991","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","2012","2012","°C","0.201","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","2013","2013","°C","1.025","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","2014","2014","°C","1.401","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","2015","2015","°C","2.063","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","2016","2016","°C","1.184","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","2017","2017","°C","1.49","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","2018","2018","°C","1.191","Fc","Calculated data"
